,id,name,name_cluster_coffee,name_cluster_contains_coffee,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,lowest_price_missing,highest_price,highest_price_missing,first_appeared_fixed,last_appeared_fixed
0,96,Coffee,coffee,1,7740,8484,1,2928,0.0,False,30.0,False,1840,2021
1,118,Large pot of coffee,coffee (pot),1,5,5,1900,1963,0.0,False,0.2,False,1900,1963
2,119,Cup of coffee (served in small pot),coffee,1,1,1,1900,1900,0.0,False,0.0,False,1900,1900
3,174,Demi-tasse,espresso,1,851,878,1892,1979,0.0,False,15.0,False,1892,1979
4,321,Tea and Coffee,coffee,1,42,42,1900,1937,0.1,False,0.1,False,1900,1937
5,531,"Coffee, Tea or Cocoa",coffee,1,1,1,1901,1901,0.05,False,0.05,False,1901,1901
6,621,Tea + Coffee,coffee,1,1,1,1901,1901,0.0,False,0.0,False,1901,1901
7,678,Coffee Cake,coffee cake,1,129,135,1893,1987,0.05,False,5.0,False,1893,1987
8,808,Kaffee,coffee,1,829,868,1888,2005,0.0,False,0.0,False,1888,2005
9,980,"Tea, Coffee and Chocolate",coffee,1,1,1,1900,1900,0.0,False,0.0,False,1900,1900
10,1176,TEA AND COFFEE.,coffee,1,1,1,1900,1900,0.0,False,0.0,False,1900,1900
11,1204,Iced Tea of Coffee,iced coffee,1,1,1,1907,1907,0.25,False,0.25,False,1907,1907
12,1205,Turkish Coffee,turkish coffee,1,495,623,1895,1971,0.0,False,25.0,False,1895,1971
13,1212,"Coffee, Pot",coffee (pot),1,164,173,1898,1969,0.05,False,1000.0,False,1898,1969
14,1235,Cafe o te taza chica,coffee,1,3,3,1900,1900,0.06,False,0.06,False,1900,1900
15,1255,"Kaffee,",coffee,1,5,5,1899,1901,0.0,False,0.0,False,1899,1901
16,1302,Cafe Turque,turkish coffee,1,32,34,1895,1972,0.0,False,1.4,False,1895,1972
17,1303,Iced coffee,iced coffee,1,549,602,1894,1988,0.0,False,25.0,False,1894,1988
18,1307,"Extra coffee (made on the table) Java, Mocha, Maracaibo or Mexican, demi-tasse",coffee,1,1,1,1900,1900,0.25,False,0.25,False,1900,1900
19,1393,Pousse Cafe,coffee,1,236,240,1892,1959,0.1,False,30.0,False,1892,1959
20,1631,Philadelphia Coffee,coffee,1,1,1,1900,1900,0.25,False,0.25,False,1900,1900
21,1647,Vienna coffee,coffee,1,7,7,1900,1955,0.1,False,0.35,False,1900,1955
22,2287,Cafe Parfait,coffee parfait,1,517,647,1887,1979,0.0,False,35.0,False,1887,1979
23,2450,CAFE,coffee,1,860,885,1866,2012,0.0,False,30.0,False,1866,2012
24,2547,"Demi-tasse, special",espresso,1,6,6,1901,1905,0.1,False,0.25,False,1901,1905
25,2554,"Extra mocha, per pot",mocha (coffee),1,5,5,1901,1901,0.0,False,0.0,False,1901,1901
26,2562,Mocha,mocha (coffee),1,41,57,1897,1989,0.25,False,0.25,False,1897,1989
27,2617,"Coffee or tea, per pot",coffee (pot),1,2,2,1901,1901,0.2,False,0.2,False,1901,1901
28,3212,Pot of Coffee and cream,coffee (pot),1,5,5,1900,1907,0.0,False,0.0,False,1900,1907
29,3536,"French coffee, demi-tasse",espresso,1,46,51,1899,1920,0.1,False,0.4,False,1899,1920
30,4001,Cafee,coffee,1,1,1,1900,1900,0.0,False,0.0,False,1900,1900
31,4098,Eclair au cafe,coffee eclair,1,2,2,1900,1918,0.05,False,0.15,False,1900,1918
32,4119,Demi-tasse Cafe,espresso,1,9,9,1892,1900,0.1,False,0.1,False,1892,1900
33,4147,"Small Pot of Coffee, with Cream or Milk",coffee (pot),1,2,2,1901,1901,0.0,False,0.0,False,1901,1901
34,4246,Cafe noir,coffee,1,591,591,1883,1967,0.0,False,0.15,False,1883,1967
35,4821,Tea or Coffee with Rolls,coffee with food,1,12,12,1899,1901,0.2,False,0.2,False,1899,1901
36,4822,"Coffee, cup",coffee,1,94,97,1900,1961,0.05,False,0.25,False,1900,1961
37,5049,French coffee in machine,french coffee,1,2,2,1901,1901,0.5,False,0.5,False,1901,1901
38,5246,Coffee Glace,coffee glacé,1,27,27,1895,1961,0.1,False,15.0,False,1895,1961
39,5271,"Cafe special, per tasse",coffee,1,2,2,1900,1900,0.0,False,0.0,False,1900,1900
40,5286,"tea, coffee or milk",coffee,1,5,5,1906,1967,0.0,False,0.05,False,1906,1967
41,5301,"coffee, per cup",coffee,1,124,124,1882,1962,0.05,False,10.0,False,1882,1962
42,5352,hot cakes and coffee,coffee with food,1,2,2,1900,1900,0.3,False,0.3,False,1900,1900
43,5396,"Coffee, per pot",coffee (pot),1,146,148,1882,1965,0.0,False,15.0,False,1882,1965
44,5407,"Cafe Special, per cup",coffee,1,3,3,1900,1905,0.2,False,0.25,False,1900,1905
45,5465,Corn Cakes and Coffee,coffee with food,1,2,2,1900,1900,0.3,False,0.3,False,1900,1900
46,5468,Rice Cakes and Coffee,coffee with food,1,2,2,1900,1900,0.3,False,0.3,False,1900,1900
