id,name,name_cluster_coffee,name_cluster_contains_coffee,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,lowest_price_missing,highest_price,highest_price_missing
96,Coffee,coffee,1,7740,8484,1,2928,0.0,false,30.0,false
118,Large pot of coffee,coffee (pot),1,5,5,1900,1963,0.0,false,0.2,false
119,Cup of coffee (served in small pot),coffee,1,1,1,1900,1900,0.0,false,0.0,false
174,Demi-tasse,espresso,1,851,878,1892,1979,0.0,false,15.0,false
321,Tea and Coffee,coffee,1,42,42,1900,1937,0.1,false,0.1,false
531,"Coffee, Tea or Cocoa",coffee,1,1,1,1901,1901,0.05,false,0.05,false
621,Tea + Coffee,coffee,1,1,1,1901,1901,0.0,false,0.0,false
678,Coffee Cake,coffee cake,1,129,135,1893,1987,0.05,false,5.0,false
808,Kaffee,coffee,1,829,868,1888,2005,0.0,false,0.0,false
980,"Tea, Coffee and Chocolate",coffee,1,1,1,1900,1900,0.0,false,0.0,false
1176,TEA AND COFFEE.,coffee,1,1,1,1900,1900,0.0,false,0.0,false
1204,Iced Tea of Coffee,iced coffee,1,1,1,1907,1907,0.25,false,0.25,false
1205,Turkish Coffee,turkish coffee,1,495,623,1895,1971,0.0,false,25.0,false
1212,"Coffee, Pot",coffee (pot),1,164,173,1898,1969,0.05,false,1000.0,false
1235,Cafe o te taza chica,coffee,1,3,3,1900,1900,0.06,false,0.06,false
1255,"Kaffee,",coffee,1,5,5,1899,1901,0.0,false,0.0,false
1302,Cafe Turque,turkish coffee,1,32,34,1895,1972,0.0,false,1.4,false
1303,Iced coffee,iced coffee,1,549,602,1894,1988,0.0,false,25.0,false
1307,"Extra coffee (made on the table) Java, Mocha, Maracaibo or Mexican, demi-tasse",coffee,1,1,1,1900,1900,0.25,false,0.25,false
1393,Pousse Cafe,coffee,1,236,240,1892,1959,0.1,false,30.0,false
1631,Philadelphia Coffee,coffee,1,1,1,1900,1900,0.25,false,0.25,false
1647,Vienna coffee,coffee,1,7,7,1900,1955,0.1,false,0.35,false
2287,Cafe Parfait,coffee parfait,1,517,647,1887,1979,0.0,false,35.0,false
2450,CAFE,coffee,1,860,885,1866,2012,0.0,false,30.0,false
2547,"Demi-tasse, special",espresso,1,6,6,1901,1905,0.1,false,0.25,false
2554,"Extra mocha, per pot",mocha (coffee),1,5,5,1901,1901,0.0,false,0.0,false
2562,Mocha,mocha (coffee),1,41,57,1897,1989,0.25,false,0.25,false
2617,"Coffee or tea, per pot",coffee (pot),1,2,2,1901,1901,0.2,false,0.2,false
3212,Pot of Coffee and cream,coffee (pot),1,5,5,1900,1907,0.0,false,0.0,false
3536,"French coffee, demi-tasse",espresso,1,46,51,1899,1920,0.1,false,0.4,false
4001,Cafee,coffee,1,1,1,1900,1900,0.0,false,0.0,false
4098,Eclair au cafe,coffee eclair,1,2,2,1900,1918,0.05,false,0.15,false
4119,Demi-tasse Cafe,espresso,1,9,9,1892,1900,0.1,false,0.1,false
4147,"Small Pot of Coffee, with Cream or Milk",coffee (pot),1,2,2,1901,1901,0.0,false,0.0,false
4246,Cafe noir,coffee,1,591,591,1883,1967,0.0,false,0.15,false
4821,Tea or Coffee with Rolls,coffee with food,1,12,12,1899,1901,0.2,false,0.2,false
4822,"Coffee, cup",coffee,1,94,97,1900,1961,0.05,false,0.25,false
5049,French coffee in machine,french coffee,1,2,2,1901,1901,0.5,false,0.5,false
5246,Coffee Glace,coffee glacé,1,27,27,1895,1961,0.1,false,15.0,false
5271,"Cafe special, per tasse",coffee,1,2,2,1900,1900,0.0,false,0.0,false
5286,"tea, coffee or milk",coffee,1,5,5,1906,1967,0.0,false,0.05,false
5301,"coffee, per cup",coffee,1,124,124,1882,1962,0.05,false,10.0,false
5352,hot cakes and coffee,coffee with food,1,2,2,1900,1900,0.3,false,0.3,false
5396,"Coffee, per pot",coffee (pot),1,146,148,1882,1965,0.0,false,15.0,false
5407,"Cafe Special, per cup",coffee,1,3,3,1900,1905,0.2,false,0.25,false
5465,Corn Cakes and Coffee,coffee with food,1,2,2,1900,1900,0.3,false,0.3,false
5468,Rice Cakes and Coffee,coffee with food,1,2,2,1900,1900,0.3,false,0.3,false
5473,Doughnuts and Coffee,coffee with food,1,2,2,1900,1900,0.0,false,0.0,false
5585,Mug of Coffee,coffee,1,2,2,1900,1907,0.05,false,0.05,false
5651,"coffee, tea",coffee,1,1,1,0,0,0.4,false,0.4,false
5660,"No. 1 Fruit, One Mutton Chop, One Fried Egg, Strip of Broiled Bacon One Hot Roll, Baked Potato Coffee",coffee with food,1,1,1,1907,1907,0.0,false,0.0,false
5670,"No. 2 Single Mutton Chop Baked Potato, Hot Roll Coffee",coffee with food,1,1,1,1907,1907,0.5,false,0.5,false
5707,special coffee noir 1/2 tasse,espresso,1,1,1,1900,1900,0.1,false,0.1,false
5718,"No. 3 Single Pork Chop Baked Potato, Hot Roll Coffee",coffee with food,1,1,1,1907,1907,0.0,false,0.0,false
5730,"No. 4 Small Breakfast Steak Baked Potato, Hot Roll Coffee",coffee with food,1,1,1,1907,1907,0.6,false,0.6,false
5737,"No. 5 Cereal with Cream Coffee, Rolls or Toast",coffee with food,1,1,1,1907,1907,0.35,false,0.35,false
5741,"No. 6 Fruit, Plain Omelette Coffee, Hot Roll",coffee with food,1,1,1,1907,1907,0.55,false,0.55,false
5747,"No. 7 Sunday Morning Baked Beans, Half Portion Fish Ball (1), Coffee Brown Bread",coffee with food,1,1,1,1907,1907,0.0,false,0.0,false
6255,French Coffee,french coffee,1,403,517,1881,1973,0.1,false,15.0,false
6423,"Rolls and one cup of Coffee, 10 cents",coffee with food,1,1,1,1900,1900,0.0,false,0.0,false
6494,Cafe Turc,turkish coffee,1,162,164,1894,1954,0.0,false,20.0,false
6520,"Two Eggs boiled, fried or scrambled, or Country Sausage, with two Rolls and one cup of Coffee",coffee with food,1,3,3,1900,1900,0.0,false,0.0,false
6608,Delicious Coffee with Cream,coffee,1,3,3,1900,1900,0.05,false,0.05,false
6721,Cup of Coffee,coffee,1,82,90,1892,1963,0.0,false,10.0,false
6924,"Coffee or Tea, per cup",coffee,1,2,2,1900,1938,0.05,false,0.2,false
7007,Parfait cafe,coffee parfait,1,29,31,1895,1907,0.3,false,30.0,false
7132,Parfait au Cafe,coffee parfait,1,32,32,1892,1961,0.0,false,25.0,false
7308,Coffee pot with cream,coffee (pot),1,3,3,1900,1937,0.0,false,0.0,false
7311,Cofee pot,coffee (pot),1,1,1,1900,1900,0.25,false,0.25,false
7418,"Large pot coffee, tea or chocolate",coffee (pot),1,1,1,1900,1900,0.0,false,0.0,false
7428,"Coffee, large pot",coffee (pot),1,35,35,1894,1917,0.15,false,25.0,false
7430,"Coffee, small pot",coffee (pot),1,23,23,1894,1917,0.1,false,15.0,false
7433,Iced tea or iced coffee,iced coffee,1,8,9,1901,1972,0.15,false,2.75,false
7474,"Coffee, Tea or Milk",coffee,1,20,25,1900,1976,0.05,false,5.0,false
7493,Two Fried Eggs with Coffee or Tea,coffee with food,1,2,2,1906,1906,0.1,false,0.1,false
7499,Two Boiled Eggs with Coffee or Tea,coffee with food,1,2,2,1906,1906,0.1,false,0.1,false
7503,Two Scrambled Eggs with Coffee or Tea,coffee with food,1,2,2,1906,1906,0.1,false,0.1,false
7506,"Rolls, Butter and Coffee",coffee with food,1,2,2,1906,1906,0.05,false,0.05,false
7550,Plain Omelet with Coffee or Tea,coffee with food,1,2,2,1906,1906,0.1,false,0.1,false
7555,Ham Omelet with Coffee or Tea,coffee with food,1,2,2,1906,1906,0.0,false,0.0,false
7576,Wheat Cakes with Coffee,coffee with food,1,3,3,1900,1906,0.0,false,0.0,false
7598,Coffee or Tea,coffee,1,36,61,1900,1985,0.1,false,1.25,false
7624,Coffee with Pure Cream,coffee,1,11,11,1900,1985,0.05,false,0.1,false
8110,Vanilla or Cafe Ice Cream,coffee ice cream,1,1,1,1907,1907,0.25,false,0.25,false
8258,iced tea or coffee,iced coffee,1,29,32,1900,1984,0.05,false,2.0,false
8265,demi-tasse coffee,espresso,1,11,11,1900,1941,0.1,false,0.2,false
8290,Pot of Coffee with Cream,coffee (pot),1,36,37,1892,1955,0.1,false,35.0,false
8407,"Coffe, Tea, Etc.",coffee,1,1,1,1900,1900,0.0,false,0.0,false
8443,Cafe Netherland Salad,dutch coffee,1,2,2,1900,1900,0.0,false,0.0,false
8463,Mousse au cafe a la Netherland,dutch coffee,1,6,6,1896,1900,0.3,false,0.3,false
8543,"coffee,pot for two",coffee (pot),1,1,1,1906,1906,0.2,false,0.2,false
8551,"one soup, one meat, one dessert and coffee",coffee with food,1,1,1,1906,1906,0.0,false,0.0,false
8725,"French Coffee, large pot",coffee (pot),1,1,1,1907,1907,0.4,false,0.4,false
8727,"French Coffee, Small pot",coffee (pot),1,1,1,1907,1907,0.25,false,0.25,false
9066,Black Coffee,coffee,1,39,39,1888,1943,0.05,false,10.0,false
9219,Cafe Netherland,dutch coffee,1,5,5,1900,1900,0.6,false,0.6,false
9359,Extra demi-tasse,espresso,1,6,6,1898,1900,0.2,false,0.2,false
9677,"Coffee per cup, 10; pot 25",coffee,1,1,1,1900,1900,0.0,false,0.0,false
10049,Coffee Frappe,frappe (coffee),1,1,1,1901,1901,0.1,false,0.1,false
10097,"Iced Coffee, ""Guadarali,"" per Glass",iced coffee,1,1,1,1901,1901,0.05,false,0.05,false
10099,"Mocha and Java, ""Guadarali"" with Whipped Cream, per Cup",mocha (coffee),1,1,1,1901,1901,0.05,false,0.05,false
10100,"Caramel Cereal Coffee, per Cup",coffee,1,1,1,1901,1901,0.05,false,0.05,false
10230,After Dinner Coffee Cup,coffee,1,4,4,1905,1907,0.0,false,0.0,false
10232,"Sweetbreads, Cafe Netherland",coffee with food,1,3,3,1900,1900,1.5,false,1.5,false
10281,Coffee with milk,coffee,1,15,15,1900,1937,0.0,false,0.35,false
10495,"Coffee, Per Pot (For One)",coffee (pot),1,3,3,1900,1900,0.15,false,0.15,false
10497,"Coffee, Per Pot (For Two)",coffee (pot),1,3,3,1900,1900,0.25,false,0.25,false
